('192.168.0.10', '192.168.0.7', '59608', '8009', 'TCP'), 12, 1476
('192.168.0.7', '192.168.0.10', '8009', '59608', 'TCP'), 6, 1068
('127.0.0.1', '127.0.0.53', '1611', '53', 'UDP'), 1, 86
('127.0.0.1', '127.0.0.53', '48572', '53', 'UDP'), 1, 86
('127.0.0.1', '127.0.0.53', '8995', '53', 'UDP'), 1, 86
('127.0.0.53', '127.0.0.1', '53', '1611', 'UDP'), 1, 114
('127.0.0.53', '127.0.0.1', '53', '48572', 'UDP'), 1, 239
('192.168.0.10', '109.88.203.3', '56357', '53', 'UDP'), 1, 97
('109.88.203.3', '192.168.0.10', '53', '56357', 'UDP'), 1, 161
('127.0.0.53', '127.0.0.1', '53', '8995', 'UDP'), 1, 150
('127.0.0.1', '127.0.0.53', None, None, 'IP'), 2, 353
('127.0.0.1', '127.0.0.53', '59786', '53', 'UDP'), 1, 83
('127.0.0.1', '127.0.0.53', '63418', '53', 'UDP'), 1, 83
('127.0.0.1', '127.0.0.53', '14928', '53', 'UDP'), 1, 83
('192.168.0.10', '109.88.203.3', '56202', '53', 'UDP'), 1, 94
('127.0.0.53', '127.0.0.1', '53', '63418', 'UDP'), 1, 236
('192.168.0.10', '109.88.203.3', '55152', '53', 'UDP'), 1, 94
('109.88.203.3', '192.168.0.10', '53', '56202', 'UDP'), 1, 158
('127.0.0.53', '127.0.0.1', '53', '59786', 'UDP'), 1, 147
('192.168.0.10', '45.157.188.28', '45338', '443', 'TCP'), 2519, 3456823
('109.88.203.3', '192.168.0.10', '53', '55152', 'UDP'), 1, 158
('127.0.0.53', '127.0.0.1', '53', '14928', 'UDP'), 1, 147
('45.157.188.28', '192.168.0.10', '443', '45338', 'TCP'), 1476, 115227
('192.168.0.1', '224.0.0.1', None, None, 'IP'), 2, 124
('192.168.0.10', '224.0.0.251', None, None, 'IP'), 1, 48
